,PacketTime,X,Y,NormalPressure,DeltaT,DistJump,Velocity,PressurePrev,PressureCurr,IsBoundary,Trial
0,454377281,5677,25110,0,5.0,0.0,0.0,0.0,0,False,0
1,454377286,5678,25101,0,5.0,9.055385138137417,1811.0770276274834,0.0,0,False,0
2,454377291,5679,25092,0,5.0,9.055385138137417,1811.0770276274834,0.0,0,False,0
3,454377296,5680,25083,0,5.0,9.055385138137417,1811.0770276274834,0.0,0,False,0
4,454377301,5681,25075,0,5.0,8.06225774829855,1612.4515496597098,0.0,0,False,0
5,454377306,5683,25065,0,5.0,10.198039027185569,2039.6078054371137,0.0,0,False,0
6,454377311,5685,25055,0,5.0,10.198039027185569,2039.6078054371137,0.0,0,False,0
7,454377316,5687,25045,0,5.0,10.198039027185569,2039.6078054371137,0.0,0,False,0
8,454377321,5690,25030,0,5.0,15.297058540778355,3059.411708155671,0.0,0,False,0
9,454377326,5692,25019,0,5.0,11.180339887498949,2236.06797749979,0.0,0,False,0
10,454377331,5693,25009,0,5.0,10.04987562112089,2009.975124224178,0.0,0,False,0
11,454377336,5695,24998,0,5.0,11.180339887498949,2236.06797749979,0.0,0,False,0
12,454377341,5696,24987,0,5.0,11.045361017187261,2209.072203437452,0.0,0,False,0
13,454377346,5698,24977,0,5.0,10.198039027185569,2039.6078054371137,0.0,0,False,0
14,454377351,5699,24967,0,5.0,10.04987562112089,2009.975124224178,0.0,0,False,0
15,454377356,5700,24957,0,5.0,10.04987562112089,2009.975124224178,0.0,0,False,0
16,454377361,5700,24948,0,5.0,9.0,1800.0,0.0,0,False,0
17,454377366,5701,24939,0,5.0,9.055385138137417,1811.0770276274834,0.0,0,False,0
18,454377371,5701,24930,0,5.0,9.0,1800.0,0.0,0,False,0
19,454377376,5702,24922,0,5.0,8.06225774829855,1612.4515496597098,0.0,0,False,0
20,454377381,5702,24915,0,5.0,7.0,1400.0,0.0,0,False,0
21,454377386,5702,24908,0,5.0,7.0,1400.0,0.0,0,False,0
22,454377391,5702,24902,0,5.0,6.0,1200.0,0.0,0,False,0
23,454377396,5703,24896,0,5.0,6.082762530298219,1216.5525060596437,0.0,0,False,0
24,454377401,5703,24892,0,5.0,4.0,800.0,0.0,0,False,0
25,454377406,5703,24888,0,5.0,4.0,800.0,0.0,0,False,0
26,454377411,5703,24885,0,5.0,3.0,600.0,0.0,0,False,0
27,454377416,5703,24884,0,5.0,1.0,200.0,0.0,0,False,0
28,454377421,5703,24883,0,5.0,1.0,200.0,0.0,0,False,0
29,454377425,5703,24883,0,4.0,0.0,0.0,0.0,0,False,0
30,454377430,5703,24883,0,5.0,0.0,0.0,0.0,0,False,0
31,454377435,5703,24883,0,5.0,0.0,0.0,0.0,0,False,0
32,454377440,5703,24883,0,5.0,0.0,0.0,0.0,0,False,0
33,454377445,5701,24883,0,5.0,2.0,400.0,0.0,0,False,0
34,454377450,5698,24886,0,5.0,4.242640687119285,848.528137423857,0.0,0,False,0
35,454377455,5696,24889,0,5.0,3.605551275463989,721.1102550927978,0.0,0,False,0
36,454377460,5693,24894,0,5.0,5.830951894845301,1166.19037896906,0.0,0,False,0
37,454377465,5690,24900,0,5.0,6.708203932499369,1341.640786499874,0.0,0,False,0
38,454377470,5687,24906,0,5.0,6.708203932499369,1341.640786499874,0.0,0,False,0
39,454377475,5683,24913,0,5.0,8.06225774829855,1612.4515496597098,0.0,0,False,0
40,454377480,5679,24919,0,5.0,7.211102550927978,1442.2205101855957,0.0,0,False,0
41,454377485,5675,24927,0,5.0,8.94427190999916,1788.8543819998317,0.0,0,False,0
42,454377490,5670,24935,0,5.0,9.433981132056603,1886.7962264113205,0.0,0,False,0
43,454377495,5668,24938,0,5.0,3.605551275463989,721.1102550927978,0.0,0,False,0
44,454377500,5663,24946,0,5.0,9.433981132056603,1886.7962264113205,0.0,0,False,0
45,454377505,5659,24954,0,5.0,8.94427190999916,1788.8543819998317,0.0,0,False,0
46,454377510,5654,24963,0,5.0,10.295630140987,2059.1260281974,0.0,0,False,0
47,454377515,5649,24971,0,5.0,9.433981132056603,1886.7962264113205,0.0,0,False,0
48,454377520,5644,24980,0,5.0,10.295630140987,2059.1260281974,0.0,0,False,0
49,454377525,5639,24989,0,5.0,10.295630140987,2059.1260281974,0.0,0,False,0
50,454377530,5636,24995,0,5.0,6.708203932499369,1341.640786499874,0.0,0,False,0
51,454377535,5630,25005,0,5.0,11.661903789690601,2332.38075793812,0.0,0,False,0
